neon 0.37.1-1
neovim 0.12.4-1
net-tools 2.10-3
nettle 4.0-1
network-manager-sstp 1.3.2-6
networkmanager 1.58.0-1
networkmanager-l2tp 1.52.4-1
networkmanager-openconnect 1.2.10-4
networkmanager-openvpn 1.12.5-1
networkmanager-pptp 1.2.12-8
networkmanager-qt 6.28.0-1
networkmanager-strongswan 1.6.4-1
networkmanager-support 1-7
networkmanager-vpn-plugin-l2tp 1.52.4-1
networkmanager-vpn-plugin-openconnect 1.2.10-4
networkmanager-vpn-plugin-openvpn 1.12.5-1
networkmanager-vpn-plugin-pptp 1.2.12-8
networkmanager-vpn-plugin-sstp 1.3.2-6
networkmanager-vpn-plugin-vpnc 1.4.0-2
networkmanager-vpnc 1.4.0-2
nfs-utils 2.9.2-1
nfsidmap 2.9.2-1
nftables 1:1.1.6-3
nilfs-utils 2.3.1-1
nlohmann-json 3.12.0-2
nm-cloud-setup 1.58.0-1
nmap 7.991-1
node-gyp 13.0.1-1
nodejs 26.7.0-1
nodejs-nopt 10.0.1-1
noto-color-emoji-fontconfig 1.0.0-2
noto-fonts 1:2026.08.01-1
